City1,City2,Pop1,Pop2,Dist,Multiplier,Gravity Score
"Fresno, CA Metro Area","Riverside-San Bernardino-Ontario, CA Metro Area",1189557,4744214,146.844666350214,0.9702678438280724,94.09355252323567
"Chicago-Naperville-Elgin, IL-IN Metro Area","Pittsburgh, PA Metro Area",9408576,2429917,207.46428284438608,0.6832504885364716,93.0950529022434
"Dover, DE Metro Area","New York-Newark-Jersey City, NY-NJ Metro Area",192690,19940274,108.36033419740211,0.4366064455847756,92.96229910559526
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","St. Louis, MO-IL Metro Area",2150553,2811927,151.29230131093254,0.9875222260764805,92.86194218426641
"Bridgeport-Stamford-Danbury, CT Metro Area","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",972679,6436489,152.63151923786978,0.9802679659551556,92.69382621099638
"Buffalo-Cheektowaga, NY Metro Area","Detroit-Warren-Dearborn, MI Metro Area",1160172,4400578,137.6050272653054,0.8421419692842044,92.52150838733844
"Charlotte-Concord-Gastonia, NC-SC Metro Area","New York-Newark-Jersey City, NY-NJ Metro Area",2883370,19940274,251.3731443360903,0.4454054772913603,90.62125388249686
"Chicago-Naperville-Elgin, IL-IN Metro Area","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",9408576,2150553,203.25549186340757,0.7060486186676362,90.21756402240713
"Los Angeles-Long Beach-Anaheim, CA Metro Area","Stockton-Lodi, CA Metro Area",12927614,816108,174.98040972459683,0.8592087553870194,88.86321117741619
"Jacksonville, FL Metro Area","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",1760548,6457988,178.26191776061955,0.8414335207484215,88.65027356851284
"Cincinnati, OH-KY-IN Metro Area","Cleveland, OH Metro Area",2302815,2171877,140.13414721832652,0.8772132207507735,88.54605294906769
"Detroit-Warren-Dearborn, MI Metro Area","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",4400578,6330422,219.1262035477774,0.6200803318390186,88.41214762797773
"Buffalo-Cheektowaga, NY Metro Area","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",1160172,6330422,160.69579581309372,0.936585486210601,87.91941501102302
"Barnstable Town, MA Metro Area","New York-Newark-Jersey City, NY-NJ Metro Area",232570,19940274,133.6478848828437,0.7872683617992932,87.23525950103335
"Baltimore-Columbia-Towson, MD Metro Area","Boston-Cambridge-Newton, MA-NH Metro Area",2859024,5025517,189.53433102264827,0.7803732434380359,86.60364005003578
"Cincinnati, OH-KY-IN Metro Area","Louisville/Jefferson County, KY-IN Metro Area",2302815,1394234,92.1787336742747,0.21221654252767722,85.27879526556814
